District,Total,Date,Vac
Cuddalore,79555.0,06-04-2021,3058.772415
Dharmapuri,51565.0,06-04-2021,3431.033336
Dindigul,68899.0,06-04-2021,3187.751085
Erode,72847.0,06-04-2021,3223.87777
Kallakurichi,33830.0,06-04-2021,2468.836684
Kancheepuram,37801.0,06-04-2021,3240.823696
Kanniyakumari,62662.0,06-04-2021,3363.178397
Karur,35896.0,06-04-2021,3334.237424
Krishnagiri,85795.0,06-04-2021,4554.525036
Madurai,132937.0,06-04-2021,3330.887854
Nagapattinam,33094.0,06-04-2021,2050.346051
Namakkal,84655.0,06-04-2021,11516.57459
The Nilgiris,76776.0,06-04-2021,3106.803031
Perambalur,21381.0,06-04-2021,1242.22989
Pudukkottai,44903.0,06-04-2021,7954.317985
Ramanathapuram,35459.0,06-04-2021,1848.050137
Ranipet,24358.0,06-04-2021,1821.077185
Salem,203547.0,06-04-2021,16818.216
Sivagangai,38790.0,06-04-2021,1114.65261
Tenkasi,35511.0,06-04-2021,2647.604846
Thanjavur,83703.0,06-04-2021,5946.390628
Theni,29310.0,06-04-2021,1080.012292
Thoothukudi,39552.0,06-04-2021,3180.229061
Tiruchirapalli,119288.0,06-04-2021,7163.355959
Tirunelveli,40258.0,06-04-2021,1675.47521
Tirupathur,33086.0,06-04-2021,1903.270639
Tiruppur,72364.0,06-04-2021,6508.654341
Tiruvallur,95673.0,06-04-2021,2567.92219
Tiruvannamalai,47356.0,06-04-2021,3734.423473
Tiruvarur,22195.0,06-04-2021,898.9596855
Vellore,92254.0,06-04-2021,5715.004318
Villupuram,75232.0,06-04-2021,3594.452564
Virudhunagar,115180.0,06-04-2021,5927.003889
Ariyalur,44888.0,06-05-2021,5965.333344
Chengalpattu,268123.0,06-05-2021,10488.94393
Chennai,1545478.0,06-05-2021,21767.29577
Coimbatore,430003.0,06-05-2021,12382.81761
Cuddalore,150916.0,06-05-2021,5802.497616
Dharmapuri,91675.0,06-05-2021,6099.873578
Dindigul,143841.0,06-05-2021,6655.093744
Erode,146489.0,06-05-2021,6482.938634
Kallakurichi,59248.0,06-05-2021,4323.784684
Kancheepuram,71614.0,06-05-2021,6139.740964
Kanniyakumari,123361.0,06-05-2021,6620.999175
Karur,60390.0,06-05-2021,5609.388178
Krishnagiri,141281.0,06-05-2021,7500.062376
Madurai,239343.0,06-05-2021,5997.011304
Nagapattinam,61765.0,06-05-2021,3826.664164
Namakkal,151537.0,06-05-2021,20615.2875
The Nilgiris,144060.0,06-05-2021,5829.504593
Perambalur,35709.0,06-05-2021,2074.682529
Pudukkottai,86915.0,06-05-2021,15396.51132
Ramanathapuram,74630.0,06-05-2021,3889.562079
Ranipet,49139.0,06-05-2021,3673.77912
Salem,364469.0,06-05-2021,30114.51098
Sivagangai,70997.0,06-05-2021,2040.138988
Tenkasi,64975.0,06-05-2021,4844.361603
Thanjavur,148357.0,06-05-2021,10539.51082
Theni,61677.0,06-05-2021,2272.668651
Thoothukudi,83663.0,06-05-2021,6727.030339
Tiruchirapalli,224971.0,06-05-2021,13509.71894
Tirunelveli,77637.0,06-05-2021,3231.130927
Tirupathur,70764.0,06-05-2021,4070.695868
Tiruppur,140674.0,06-05-2021,12652.67869
Tiruvallur,192741.0,06-05-2021,5173.287039
Tiruvannamalai,86320.0,06-05-2021,6807.066353
Tiruvarur,47873.0,06-05-2021,1938.99063
Vellore,175704.0,06-05-2021,10884.61334
Villupuram,109733.0,06-05-2021,5242.849628
Virudhunagar,195782.0,06-05-2021,10074.6716
Ariyalur,23022.0,07-04-2021,3059.479243
Chengalpattu,136391.0,07-04-2021,5335.601766
